Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Owen, Indiana",0.054000000000000006,0.055999999999999994,0.0,0.0,0.0,0.055999999999999994
"Parke, Indiana",0.06,0.061,,0.0,,
"Perry, Indiana",0.03,0.027999999999999997,0.293,0.0,0.0,-0.265
"Pike, Indiana",0.037000000000000005,0.037000000000000005,,,,
"Porter, Indiana",0.044000000000000004,0.043,0.036000000000000004,0.0,0.055,0.006999999999999992
"Posey, Indiana",0.040999999999999995,0.042,0.055999999999999994,0.0,0.0,-0.013999999999999992
"Pulaski, Indiana",0.064,0.06,0.0,0.611,0.0,0.06
"Putnam, Indiana",0.031,0.032,0.0,0.0,0.0,0.032
"Randolph, Indiana",0.05,0.05,0.09300000000000001,0.0,0.0,-0.04300000000000001
"Ripley, Indiana",0.052000000000000005,0.052000000000000005,0.0,0.10300000000000001,0.0,0.052000000000000005
"Rush, Indiana",0.046,0.048,0.0,,0.0,0.048
"St. Joseph, Indiana",0.045,0.036000000000000004,0.102,0.01,0.032,-0.06599999999999999
"Scott, Indiana",0.05,0.049,0.0,0.34600000000000003,0.0,0.049
"Shelby, Indiana",0.036000000000000004,0.036000000000000004,0.0,0.0,0.0,0.036000000000000004
"Spencer, Indiana",0.028999999999999998,0.03,0.0,0.0,0.0,0.03
"Starke, Indiana",0.05,0.05,0.0,0.0,0.0,0.05
"Steuben, Indiana",0.032,0.033,0.111,0.0,0.0,-0.078
"Sullivan, Indiana",0.049,0.044000000000000004,0.465,0.0,0.0,-0.42100000000000004
"Switzerland, Indiana",0.061,0.063,0.0,,0.0,0.063
"Tippecanoe, Indiana",0.040999999999999995,0.036000000000000004,0.1,0.046,0.053,-0.064
"Tipton, Indiana",0.032,0.033,0.0,,0.0,0.033
"Union, Indiana",0.015,0.015,0.0,,0.0,0.015
"Vanderburgh, Indiana",0.046,0.039,0.105,0.0,0.025,-0.066
"Vermillion, Indiana",0.067,0.067,,0.12,0.0,
"Vigo, Indiana",0.07,0.067,0.10300000000000001,0.0,0.022000000000000002,-0.036000000000000004
"Wabash, Indiana",0.046,0.045,0.0,0.155,0.077,0.045
"Warren, Indiana",0.04,0.035,0.41700000000000004,,0.0,-0.382
"Warrick, Indiana",0.033,0.032,0.107,0.0,0.048,-0.075
"Washington, Indiana",0.055,0.053,,0.0,0.319,
"Wayne, Indiana",0.052000000000000005,0.048,0.087,0.0,0.061,-0.03899999999999999
"Wells, Indiana",0.027999999999999997,0.025,0.5710000000000001,0.0,0.0,-0.546
"White, Indiana",0.04,0.038,0.0,0.0,0.0,0.038
"Whitley, Indiana",0.036000000000000004,0.036000000000000004,0.0,0.0,0.0,0.036000000000000004
"Adair, Iowa",0.042,0.042,0.0,,0.0,0.042
"Adams, Iowa",0.039,0.034,0.0,1.0,0.0,0.034
"Allamakee, Iowa",0.028999999999999998,0.027999999999999997,0.155,0.0,0.023,-0.127
"Appanoose, Iowa",0.065,0.067,,0.0,0.0,
"Audubon, Iowa",0.018000000000000002,0.018000000000000002,0.0,,0.0,0.018000000000000002
"Benton, Iowa",0.03,0.028999999999999998,0.0,0.0,0.0,0.028999999999999998
"Black Hawk, Iowa",0.044000000000000004,0.033,0.151,0.0,0.023,-0.118
"Boone, Iowa",0.027999999999999997,0.027000000000000003,0.0,0.19399999999999998,0.0,0.027000000000000003
"Bremer, Iowa",0.023,0.024,0.0,0.0,0.0,0.024
"Buchanan, Iowa",0.022000000000000002,0.022000000000000002,0.0,0.0,0.0,0.022000000000000002
"Buena Vista, Iowa",0.051,0.035,0.0,0.0,0.226,0.035
"Butler, Iowa",0.028999999999999998,0.027000000000000003,0.0,0.16699999999999998,0.0,0.027000000000000003
"Calhoun, Iowa",0.023,0.024,0.0,0.0,0.0,0.024
"Carroll, Iowa",0.02,0.021,0.0,0.0,0.0,0.021
"Cass, Iowa",0.024,0.025,0.0,0.0,0.0,0.025
"Cedar, Iowa",0.031,0.031,0.0,0.0,0.0,0.031
"Cerro Gordo, Iowa",0.04,0.037000000000000005,0.115,0.0,0.0,-0.078
"Cherokee, Iowa",0.032,0.031,0.165,0.0,0.0,-0.134
"Chickasaw, Iowa",0.017,0.017,0.0,0.0,0.0,0.017
"Clarke, Iowa",0.03,0.026000000000000002,0.0,0.0,0.0,0.026000000000000002
"Clay, Iowa",0.042,0.039,0.011000000000000001,0.0,,0.027999999999999997
"Clayton, Iowa",0.024,0.024,0.0,0.0,0.0,0.024
"Clinton, Iowa",0.045,0.043,0.155,0.0,0.0,-0.112
"Crawford, Iowa",0.067,0.062,0.36,0.81,0.0,-0.298
"Dallas, Iowa",0.027000000000000003,0.027000000000000003,0.042,0.0,0.016,-0.015
"Davis, Iowa",0.03,0.031,,0.0,0.0,
"Decatur, Iowa",0.048,0.044000000000000004,0.27899999999999997,,0.0,-0.23499999999999996
"Delaware, Iowa",0.02,0.02,0.0,0.0,0.0,0.02
"Des Moines, Iowa",0.052000000000000005,0.043,0.158,0.0,0.109,-0.115
"Dickinson, Iowa",0.019,0.02,0.0,0.11800000000000001,0.0,0.02
"Dubuque, Iowa",0.039,0.034,0.171,0.0,0.046,-0.137
"Emmet, Iowa",0.036000000000000004,0.038,0.0,,0.0,0.038
"Fayette, Iowa",0.031,0.027999999999999997,0.034,1.0,0.0,-0.006000000000000005
"Floyd, Iowa",0.022000000000000002,0.024,0.0,0.0,0.0,0.024
"Franklin, Iowa",0.035,0.036000000000000004,0.0,0.0,,0.036000000000000004
"Fremont, Iowa",0.036000000000000004,0.035,0.0,0.0,,0.035
"Greene, Iowa",0.045,0.044000000000000004,0.0,0.0,0.0,0.044000000000000004
"Grundy, Iowa",0.022000000000000002,0.023,0.0,0.0,0.0,0.023
"Guthrie, Iowa",0.03,0.03,,1.0,0.0,
"Hamilton, Iowa",0.027000000000000003,0.022000000000000002,0.085,1.0,0.18600000000000003,-0.063
"Hancock, Iowa",0.022000000000000002,0.02,0.0,0.0,0.0,0.02
"Hardin, Iowa",0.018000000000000002,0.017,0.0,0.0,0.0,0.017
"Harrison, Iowa",0.015,0.016,0.0,0.0,0.0,0.016
"Henry, Iowa",0.055,0.052000000000000005,0.124,0.0,0.07200000000000001,-0.072
"Howard, Iowa",0.024,0.024,0.0,,0.0,0.024
"Humboldt, Iowa",0.040999999999999995,0.039,0.25,0.0,0.0,-0.211
"Ida, Iowa",0.026000000000000002,0.025,0.226,0.0,0.0,-0.201
"Iowa, Iowa",0.028999999999999998,0.03,0.0,0.0,0.0,0.03
"Jackson, Iowa",0.037000000000000005,0.031,0.609,,0.159,-0.578
"Jasper, Iowa",0.038,0.036000000000000004,0.043,0.0,0.0,-0.006999999999999992
"Jefferson, Iowa",0.066,0.07200000000000001,0.015,0.0,0.14300000000000002,0.05700000000000001
"Johnson, Iowa",0.035,0.032,0.063,0.0,0.018000000000000002,-0.031
"Jones, Iowa",0.032,0.031,0.0,0.0,0.0,0.031
"Keokuk, Iowa",0.047,0.048,0.0,0.0,0.4,0.048
"Kossuth, Iowa",0.03,0.023,0.54,0.14800000000000002,0.0,-0.517
"Lee, Iowa",0.069,0.065,0.307,0.0,0.0,-0.242
"Linn, Iowa",0.037000000000000005,0.032,0.11800000000000001,0.055,0.059000000000000004,-0.08600000000000001
"Louisa, Iowa",0.048,0.05,0.0,0.0,0.086,0.05
"Lucas, Iowa",0.034,0.034,0.0,,,0.034
"Lyon, Iowa",0.019,0.017,0.0,0.0,0.0,0.017
"Madison, Iowa",0.027999999999999997,0.027999999999999997,0.0,0.0,0.0,0.027999999999999997
"Mahaska, Iowa",0.039,0.037000000000000005,0.0,0.0,0.0,0.037000000000000005
"Marion, Iowa",0.022000000000000002,0.022000000000000002,0.0,0.0,0.0,0.022000000000000002
"Marshall, Iowa",0.05,0.048,0.154,0.0,0.040999999999999995,-0.106
"Mills, Iowa",0.04,0.037000000000000005,0.0,0.326,0.0,0.037000000000000005
"Mitchell, Iowa",0.022000000000000002,0.016,,0.0,0.0,
"Monona, Iowa",0.03,0.032,0.0,0.0,,0.032
"Monroe, Iowa",0.039,0.04,,,,
"Montgomery, Iowa",0.040999999999999995,0.034,0.0,0.20800000000000002,0.0,0.034
"Muscatine, Iowa",0.03,0.026000000000000002,0.075,0.0,0.1,-0.048999999999999995
"O'Brien, Iowa",0.019,0.019,0.0,0.28600000000000003,0.019,0.019
"Osceola, Iowa",0.028999999999999998,0.027999999999999997,0.0,0.0,0.0,0.027999999999999997
"Page, Iowa",0.046,0.047,0.245,0.0,0.0,-0.198
"Palo Alto, Iowa",0.013999999999999999,0.013999999999999999,0.0,0.0,0.0,0.013999999999999999
"Plymouth, Iowa",0.018000000000000002,0.017,0.051,0.0,0.0,-0.033999999999999996
"Pocahontas, Iowa",0.033,0.034,0.0,0.0,0.0,0.034
"Polk, Iowa",0.042,0.037000000000000005,0.09300000000000001,0.084,0.059000000000000004,-0.05600000000000001
"Pottawattamie, Iowa",0.038,0.036000000000000004,0.14,0.038,0.0,-0.10400000000000001
"Poweshiek, Iowa",0.04,0.037000000000000005,0.16699999999999998,0.0,0.0,-0.12999999999999998
"Ringgold, Iowa",0.046,0.04,,0.833,0.375,
"Sac, Iowa",0.026000000000000002,0.026000000000000002,0.0,,0.0,0.026000000000000002
"Scott, Iowa",0.038,0.031,0.10800000000000001,0.057,0.053,-0.07700000000000001
"Shelby, Iowa",0.021,0.022000000000000002,0.0,0.034,1.0,0.022000000000000002
"Sioux, Iowa",0.027000000000000003,0.024,0.0,0.024,0.027999999999999997,0.024
"Story, Iowa",0.045,0.042,0.062,0.23600000000000002,0.07,-0.019999999999999997
"Tama, Iowa",0.034,0.024,0.025,0.191,0.0,-0.0010000000000000009
"Taylor, Iowa",0.036000000000000004,0.03,,0.0,0.32,
"Union, Iowa",0.044000000000000004,0.042,0.469,,0.0,-0.427
"Van Buren, Iowa",0.052000000000000005,0.053,0.0,,0.0,0.053
"Wapello, Iowa",0.059000000000000004,0.05,0.183,0.0,0.08199999999999999,-0.133
"Warren, Iowa",0.03,0.031,0.0,0.0,0.0,0.031
"Washington, Iowa",0.031,0.028999999999999998,0.0,0.036000000000000004,0.0,0.028999999999999998
"Wayne, Iowa",0.017,0.017,0.0,0.0,0.0,0.017
"Webster, Iowa",0.040999999999999995,0.037000000000000005,0.18600000000000003,0.0,0.0,-0.14900000000000002
"Winnebago, Iowa",0.034,0.025,0.092,0.0,0.0,-0.067
"Winneshiek, Iowa",0.02,0.019,0.0,0.0,0.073,0.019
"Woodbury, Iowa",0.043,0.037000000000000005,0.154,0.055,0.017,-0.11699999999999999
"Worth, Iowa",0.046,0.042,0.413,0.0,0.0,-0.371
"Wright, Iowa",0.032,0.027999999999999997,0.0,0.0,0.0,0.027999999999999997
"Allen, Kansas",0.046,0.046,0.0,0.0,0.0,0.046
"Anderson, Kansas",0.034,0.035,0.0,0.0,0.0,0.035
"Atchison, Kansas",0.027999999999999997,0.028999999999999998,0.073,0.0,0.0,-0.044
"Barber, Kansas",0.025,0.026000000000000002,0.0,0.0,0.0,0.026000000000000002
"Barton, Kansas",0.039,0.036000000000000004,0.048,0.016,0.22,-0.011999999999999997
"Bourbon, Kansas",0.023,0.024,0.0,0.136,0.0,0.024
"Brown, Kansas",0.034,0.027999999999999997,0.0,0.098,0.17600000000000002,0.027999999999999997
"Butler, Kansas",0.038,0.038,0.004,0.0,0.0,0.034
"Chase, Kansas",0.045,0.047,,0.0,0.0,
"Chautauqua, Kansas",0.068,0.073,0.0,0.044000000000000004,0.0,0.073
"Cherokee, Kansas",0.043,0.045,0.0,0.064,0.0,0.045
"Cheyenne, Kansas",0.019,0.013999999999999999,,,,
"Clark, Kansas",0.015,0.016,0.0,0.0,0.0,0.016
"Clay, Kansas",0.027000000000000003,0.024,0.0,,0.0,0.024
"Cloud, Kansas",0.040999999999999995,0.040999999999999995,0.0,0.0,0.0,0.040999999999999995
"Coffey, Kansas",0.040999999999999995,0.036000000000000004,0.439,0.0,0.0,-0.403
"Comanche, Kansas",0.03,0.031,0.0,,,0.031
"Cowley, Kansas",0.048,0.043,0.12,0.04,0.043,-0.077
"Crawford, Kansas",0.051,0.052000000000000005,0.081,0.013000000000000001,0.0,-0.028999999999999998
"Decatur, Kansas",0.016,0.016,0.0,,0.0,0.016
"Dickinson, Kansas",0.042,0.043,0.073,0.0,0.0,-0.03
"Doniphan, Kansas",0.026000000000000002,0.022000000000000002,0.113,0.0,,-0.091
"Douglas, Kansas",0.042,0.039,0.018000000000000002,0.114,0.043,0.020999999999999998
"Edwards, Kansas",0.023,0.023,,,0.0,
"Elk, Kansas",0.057,0.06,0.0,0.0,0.0,0.06
"Ellis, Kansas",0.027999999999999997,0.027999999999999997,0.147,0.0,0.055,-0.119
"Ellsworth, Kansas",0.035,0.033,0.0,0.75,0.0,0.033
"Finney, Kansas",0.04,0.038,0.098,0.0,0.034,-0.060000000000000005
"Ford, Kansas",0.057999999999999996,0.059000000000000004,0.091,0.113,0.027000000000000003,-0.031999999999999994
"Franklin, Kansas",0.037000000000000005,0.035,0.22899999999999998,0.22399999999999998,0.0,-0.19399999999999998
"Geary, Kansas",0.045,0.055,0.021,0.0,0.028999999999999998,0.034
"Gove, Kansas",0.016,0.017,,0.0,0.0,
"Graham, Kansas",0.018000000000000002,0.019,0.0,,0.0,0.019
"Grant, Kansas",0.067,0.059000000000000004,,,0.0,
"Gray, Kansas",0.026000000000000002,0.024,0.0,1.0,,0.024
"Greeley, Kansas",0.0,0.0,,,,
"Greenwood, Kansas",0.023,0.019,,0.0,0.0,
"Hamilton, Kansas",0.006999999999999999,0.008,0.0,,,0.008
"Harper, Kansas",0.057999999999999996,0.057999999999999996,0.0,0.0,,0.057999999999999996
"Harvey, Kansas",0.033,0.034,0.0,0.304,0.0,0.034
"Haskell, Kansas",0.032,0.021,,0.0,0.0,
"Hodgeman, Kansas",0.035,0.025,,,0.0,
"Jackson, Kansas",0.052000000000000005,0.05,0.25,0.092,0.065,-0.2
"Jefferson, Kansas",0.036000000000000004,0.036000000000000004,0.0,0.24100000000000002,0.0,0.036000000000000004
"Jewell, Kansas",0.022000000000000002,0.021,0.0,0.33299999999999996,,0.021
"Johnson, Kansas",0.028999999999999998,0.027000000000000003,0.045,0.083,0.025,-0.017999999999999995
"Kearny, Kansas",0.022000000000000002,0.023,0.0,,,0.023
"Kingman, Kansas",0.047,0.049,,,0.0,
"Kiowa, Kansas",0.03,0.018000000000000002,0.0,0.909,0.0,0.018000000000000002
"Labette, Kansas",0.033,0.034,0.0,0.0,0.0,0.034
"Lane, Kansas",0.026000000000000002,0.027000000000000003,,0.0,0.0,
"Leavenworth, Kansas",0.040999999999999995,0.038,0.064,0.0,0.19399999999999998,-0.026000000000000002
"Lincoln, Kansas",0.034,0.034,0.0,,,0.034
"Linn, Kansas",0.040999999999999995,0.038,0.17300000000000001,0.222,0.0,-0.135
"Logan, Kansas",0.017,0.017,,0.0,,
"Lyon, Kansas",0.054000000000000006,0.051,0.07400000000000001,0.21100000000000002,0.12,-0.023000000000000013
"McPherson, Kansas",0.019,0.02,0.02,0.044000000000000004,0.0,0.0
"Marion, Kansas",0.035,0.034,0.24,0.2,0.0,-0.206
"Marshall, Kansas",0.032,0.03,0.0,0.0,0.0,0.03
"Meade, Kansas",0.013000000000000001,0.015,0.0,,0.0,0.015
"Miami, Kansas",0.027999999999999997,0.028999999999999998,0.0,0.0,0.0,0.028999999999999998
"Mitchell, Kansas",0.036000000000000004,0.027000000000000003,0.9620000000000001,0.0,0.0,-0.935
"Montgomery, Kansas",0.05,0.04,0.22399999999999998,0.076,0.0,-0.18399999999999997
"Morris, Kansas",0.024,0.025,,,0.0,
"Morton, Kansas",0.025,0.023,0.0,,0.294,0.023
"Nemaha, Kansas",0.013000000000000001,0.012,0.0,0.055999999999999994,0.0,0.012
"Neosho, Kansas",0.047,0.044000000000000004,0.083,0.0,0.0,-0.039
"Ness, Kansas",0.013000000000000001,0.011000000000000001,,0.0,,
"Norton, Kansas",0.012,0.012,,,0.0,
"Osage, Kansas",0.05,0.05,0.0,0.0,0.0,0.05
"Osborne, Kansas",0.016,0.015,0.0,0.0,0.0,0.015
"Ottawa, Kansas",0.024,0.024,,,0.0,
"Pawnee, Kansas",0.024,0.025,0.0,0.0,0.0,0.025
"Phillips, Kansas",0.027999999999999997,0.027999999999999997,0.273,0.0,0.0,-0.24500000000000002
"Pottawatomie, Kansas",0.028999999999999998,0.031,0.0,0.0,0.0,0.031
"Pratt, Kansas",0.035,0.036000000000000004,0.0,0.0,,0.036000000000000004
"Rawlins, Kansas",0.016,0.013000000000000001,0.0,0.0,,0.013000000000000001
"Reno, Kansas",0.045,0.046,0.036000000000000004,0.06,0.059000000000000004,0.009999999999999995
"Republic, Kansas",0.017,0.017,,0.0,0.0,
"Rice, Kansas",0.042,0.037000000000000005,0.17600000000000002,0.0,0.0,-0.139
"Riley, Kansas",0.057999999999999996,0.054000000000000006,0.113,0.0,0.019,-0.059
"Rooks, Kansas",0.031,0.032,0.0,0.0,,0.032
"Rush, Kansas",0.040999999999999995,0.043,,,0.0,
"Russell, Kansas",0.066,0.045,0.889,0.033,,-0.844
"Saline, Kansas",0.033,0.03,0.055,0.0,0.0,-0.025
"Scott, Kansas",0.011000000000000001,0.012,,,0.0,
"Sedgwick, Kansas",0.051,0.043,0.099,0.067,0.028999999999999998,-0.05600000000000001
"Seward, Kansas",0.05,0.062,0.0,0.0,0.045,0.062
"Shawnee, Kansas",0.040999999999999995,0.036000000000000004,0.062,0.094,0.068,-0.025999999999999995
"Sheridan, Kansas",0.025,0.017,1.0,,,-0.983
"Sherman, Kansas",0.036000000000000004,0.031,0.0,0.0,0.0,0.031
"Smith, Kansas",0.027000000000000003,0.027999999999999997,0.0,0.0,0.0,0.027999999999999997
"Stafford, Kansas",0.043,0.042,1.0,0.0,,-0.958
"Stanton, Kansas",0.015,0.015,,0.0,,
"Stevens, Kansas",0.055999999999999994,0.044000000000000004,0.0,0.0,0.0,0.044000000000000004
"Sumner, Kansas",0.037000000000000005,0.036000000000000004,0.17,0.0,0.0,-0.134
"Thomas, Kansas",0.022000000000000002,0.022000000000000002,0.0,0.0,0.0,0.022000000000000002
"Trego, Kansas",0.013999999999999999,0.013999999999999999,0.0,,0.0,0.013999999999999999
"Wabaunsee, Kansas",0.026000000000000002,0.027000000000000003,0.0,0.0,0.0,0.027000000000000003
"Wallace, Kansas",0.006,0.006999999999999999,0.0,,0.0,0.006999999999999999
"Washington, Kansas",0.018000000000000002,0.017,,,1.0,
"Wichita, Kansas",0.028999999999999998,0.027999999999999997,0.0,0.0,0.0,0.027999999999999997
"Wilson, Kansas",0.049,0.05,0.4,0.0,0.0,-0.35000000000000003
"Woodson, Kansas",0.094,0.086,,1.0,,
"Wyandotte, Kansas",0.066,0.046,0.106,0.14800000000000002,0.07400000000000001,-0.06
"Adair, Kentucky",0.057,0.054000000000000006,0.18899999999999997,0.0,0.0,-0.13499999999999995
"Allen, Kentucky",0.05,0.051,0.0,,0.0,0.051
"Anderson, Kentucky",0.07200000000000001,0.071,0.141,,0.0,-0.06999999999999999
"Ballard, Kentucky",0.061,0.054000000000000006,0.153,0.0,0.0,-0.09899999999999999
"Barren, Kentucky",0.067,0.06,0.239,,0.0,-0.179
"Bath, Kentucky",0.057999999999999996,0.049,0.63,0.0,0.174,-0.581
"Bell, Kentucky",0.1,0.096,0.11,1.0,0.0,-0.013999999999999999
"Boone, Kentucky",0.038,0.035,0.051,0.47600000000000003,0.013000000000000001,-0.015999999999999993
"Bourbon, Kentucky",0.052000000000000005,0.05,0.096,,0.0,-0.046
"Boyd, Kentucky",0.079,0.077,0.0,,0.0,0.077
"Boyle, Kentucky",0.057999999999999996,0.047,0.163,0.0,0.0,-0.116
"Bracken, Kentucky",0.043,0.044000000000000004,0.0,,0.0,0.044000000000000004
"Breathitt, Kentucky",0.1,0.096,0.0,0.0,0.0,0.096
"Breckinridge, Kentucky",0.092,0.09,0.165,0.0,0.0,-0.07500000000000001
"Bullitt, Kentucky",0.040999999999999995,0.039,0.135,0.0,0.0,-0.096
"Butler, Kentucky",0.057,0.055999999999999994,0.0,0.0,0.0,0.055999999999999994
"Caldwell, Kentucky",0.047,0.045,0.08800000000000001,,,-0.04300000000000001
"Calloway, Kentucky",0.043,0.038,0.111,0.0,0.0,-0.07300000000000001
"Campbell, Kentucky",0.04,0.037000000000000005,0.091,0.0,0.062,-0.05399999999999999
"Carlisle, Kentucky",0.037000000000000005,0.034,0.222,,,-0.188
"Carroll, Kentucky",0.079,0.064,0.746,,0.0,-0.6819999999999999
"Carter, Kentucky",0.057999999999999996,0.057999999999999996,0.2,0.0,,-0.14200000000000002
"Casey, Kentucky",0.08,0.079,0.0,,0.0,0.079
"Christian, Kentucky",0.07400000000000001,0.055,0.106,0.235,0.055999999999999994,-0.051
"Clark, Kentucky",0.055999999999999994,0.053,0.039,0.0,0.183,0.013999999999999999
"Clay, Kentucky",0.092,0.092,0.092,0.0,,0.0
"Clinton, Kentucky",0.062,0.064,0.0,,,0.064
"Crittenden, Kentucky",0.021,0.022000000000000002,0.0,,,0.022000000000000002
"Cumberland, Kentucky",0.046,0.048,0.052000000000000005,,0.0,-0.0040000000000000036
"Daviess, Kentucky",0.05,0.048,0.086,0.0,0.027000000000000003,-0.03799999999999999
"Edmonson, Kentucky",0.08900000000000001,0.091,0.0,0.0,0.0,0.091
"Elliott, Kentucky",0.016,0.016,,,,
"Estill, Kentucky",0.11,0.109,,0.0,,
"Fayette, Kentucky",0.051,0.047,0.067,0.055999999999999994,0.04,-0.020000000000000004
"Fleming, Kentucky",0.07400000000000001,0.071,0.096,,,-0.02500000000000001
"Floyd, Kentucky",0.113,0.114,0.08199999999999999,,0.0,0.032000000000000015
"Franklin, Kentucky",0.039,0.042,0.031,0.098,0.013999999999999999,0.011000000000000003
"Fulton, Kentucky",0.102,0.132,0.027000000000000003,0.0,0.0,0.10500000000000001
"Gallatin, Kentucky",0.055999999999999994,0.059000000000000004,0.0,,0.0,0.059000000000000004
"Garrard, Kentucky",0.065,0.063,0.184,0.0,,-0.121
"Grant, Kentucky",0.036000000000000004,0.038,0.0,,,0.038
"Graves, Kentucky",0.061,0.05,0.055,0.0,0.0,-0.0049999999999999975
"Grayson, Kentucky",0.049,0.047,0.0,0.0,,0.047
"Green, Kentucky",0.042,0.044000000000000004,0.0,,0.0,0.044000000000000004
"Greenup, Kentucky",0.063,0.061,0.212,,0.0,-0.151
"Hancock, Kentucky",0.059000000000000004,0.057,0.23199999999999998,0.0,0.0,-0.175
"Hardin, Kentucky",0.057,0.047,0.09699999999999999,0.136,0.021,-0.04999999999999999
"Harlan, Kentucky",0.11199999999999999,0.105,0.23800000000000002,,0.172,-0.133
"Harrison, Kentucky",0.051,0.053,0.0,,,0.053
"Hart, Kentucky",0.057999999999999996,0.059000000000000004,0.08199999999999999,0.0,0.0,-0.022999999999999986
"Henderson, Kentucky",0.048,0.042,0.043,0.0,0.10300000000000001,-0.000999999999999994
"Henry, Kentucky",0.040999999999999995,0.040999999999999995,0.111,,0.0,-0.07
"Hickman, Kentucky",0.07,0.06,0.163,0.278,0.0,-0.10300000000000001
"Hopkins, Kentucky",0.055,0.053,0.079,0.0,0.0,-0.026000000000000002
"Jackson, Kentucky",0.095,0.08800000000000001,,,,
"Jefferson, Kentucky",0.054000000000000006,0.040999999999999995,0.10400000000000001,0.07,0.028999999999999998,-0.06300000000000001
"Jessamine, Kentucky",0.06,0.055999999999999994,0.11599999999999999,0.0,0.257,-0.06
"Johnson, Kentucky",0.087,0.084,1.0,,0.0,-0.916
"Kenton, Kentucky",0.042,0.037000000000000005,0.115,0.11900000000000001,0.01,-0.078
"Knott, Kentucky",0.11199999999999999,0.11,0.105,0.0,0.0,0.0050000000000000044
"Knox, Kentucky",0.07200000000000001,0.071,0.139,0.0,0.0,-0.06800000000000002
"Larue, Kentucky",0.044000000000000004,0.046,0.0,,0.0,0.046
"Laurel, Kentucky",0.065,0.062,0.41200000000000003,0.332,0.0,-0.35000000000000003
"Lawrence, Kentucky",0.084,0.084,0.0,,0.0,0.084
"Lee, Kentucky",0.10400000000000001,0.098,0.0,0.76,,0.098
"Leslie, Kentucky",0.094,0.098,,,0.0,
"Letcher, Kentucky",0.126,0.128,0.0,0.0,0.0,0.128
"Lewis, Kentucky",0.052000000000000005,0.052000000000000005,,,0.0,
"Lincoln, Kentucky",0.055,0.047,0.156,,0.0,-0.109
"Livingston, Kentucky",0.055999999999999994,0.057,0.0,,0.0,0.057
"Logan, Kentucky",0.05,0.036000000000000004,0.23,,0.0,-0.194
"Lyon, Kentucky",0.018000000000000002,0.016,0.0,0.5,0.0,0.016
"McCracken, Kentucky",0.039,0.036000000000000004,0.055,0.18600000000000003,0.0,-0.018999999999999996
"McCreary, Kentucky",0.095,0.094,0.304,,0.0,-0.21
"McLean, Kentucky",0.078,0.077,0.0,0.37,0.154,0.077
"Madison, Kentucky",0.057999999999999996,0.055999999999999994,0.083,0.036000000000000004,0.0,-0.02700000000000001
"Magoffin, Kentucky",0.156,0.156,,,,
"Marion, Kentucky",0.08900000000000001,0.076,0.132,0.4,0.0,-0.05600000000000001
"Marshall, Kentucky",0.04,0.039,0.0,0.318,1.0,0.039
"Martin, Kentucky",0.087,0.087,,,,
"Mason, Kentucky",0.05,0.049,0.083,,0.0,-0.034
"Meade, Kentucky",0.063,0.06,0.11800000000000001,0.0,0.191,-0.05800000000000001
"Menifee, Kentucky",0.033,0.031,1.0,,0.0,-0.969
"Mercer, Kentucky",0.077,0.073,0.136,1.0,0.0,-0.06300000000000001
"Metcalfe, Kentucky",0.043,0.039,0.488,0.0,0.0,-0.449
"Monroe, Kentucky",0.062,0.051,0.0,0.0,,0.051
"Montgomery, Kentucky",0.055,0.052000000000000005,0.153,0.0,0.0,-0.10099999999999999
"Morgan, Kentucky",0.063,0.064,,,0.0,
"Muhlenberg, Kentucky",0.065,0.06,0.154,0.0,0.0,-0.094
"Nelson, Kentucky",0.045,0.04,0.047,,0.0,-0.006999999999999999
"Nicholas, Kentucky",0.059000000000000004,0.06,0.0,0.0,,0.06
"Ohio, Kentucky",0.08,0.081,0.085,0.556,0.0,-0.0040000000000000036
"Oldham, Kentucky",0.034,0.034,0.025,0.0,0.016,0.009000000000000001
"Owen, Kentucky",0.036000000000000004,0.036000000000000004,0.0,,,0.036000000000000004
"Owsley, Kentucky",0.121,0.13,0.0,,0.0,0.13
"Pendleton, Kentucky",0.034,0.035,0.0,,0.0,0.035
"Perry, Kentucky",0.11900000000000001,0.12300000000000001,0.03,,0.0,0.09300000000000001
"Pike, Kentucky",0.087,0.08800000000000001,0.038,0.0,0.0,0.05000000000000001
"Powell, Kentucky",0.062,0.063,,0.0,0.0,
"Pulaski, Kentucky",0.071,0.069,0.044000000000000004,0.0,0.07400000000000001,0.025
"Robertson, Kentucky",0.079,0.081,0.0,,,0.081
"Rockcastle, Kentucky",0.086,0.086,,0.0,,
"Rowan, Kentucky",0.05,0.051,0.075,0.0,0.0,-0.024
"Russell, Kentucky",0.059000000000000004,0.062,0.0,,0.0,0.062
"Scott, Kentucky",0.033,0.032,0.061,0.354,0.094,-0.028999999999999998
"Shelby, Kentucky",0.038,0.038,0.059000000000000004,,0.0,-0.021000000000000005
"Simpson, Kentucky",0.046,0.052000000000000005,0.0,0.0,0.0,0.052000000000000005
"Spencer, Kentucky",0.047,0.042,0.23,0.0,0.0,-0.188
"Taylor, Kentucky",0.05,0.04,0.226,0.0,0.115,-0.186
"Todd, Kentucky",0.073,0.065,0.185,,,-0.12
"Trigg, Kentucky",0.092,0.09300000000000001,0.083,,0.0,0.010000000000000009
