Geographic Area Name,TCI
"Walla Walla, Washington",1.8
"Lake, Illinois",2.2
"Monroe, Indiana",2.0
"Delaware, Indiana",1.5
"St. Joseph, Indiana",1.8
"Thurston, Washington",1.8
"San Joaquin, California",1.8
"Benton, Oregon",1.8
"Bristol, Rhode Island",1.7
"Larimer, Colorado",1.5
"Lucas, Ohio",1.6
"Kings, California",0.8
"Broome, New York",1.8
"Cabell, West Virginia",1.7
"Kenosha, Wisconsin",2.0
"Butte, California",1.7
"Erie, Pennsylvania",1.8
"Dakota, Minnesota",2.4
"Woodbury, Iowa",1.3
"Broomfield, Colorado",1.8
"Macon, Illinois",1.7
"Howard, Maryland",1.7
"Sangamon, Illinois",1.6
"Volusia, Florida",1.7
"Racine, Wisconsin",1.8
"Wake, North Carolina",1.8
"Bay, Michigan",1.6
"Gloucester, New Jersey",1.5
"Skagit, Washington",1.7
"Saline, Kansas",1.6
"Peoria, Illinois",1.9
"Caddo Parish, Louisiana",1.5
"Eau Claire, Wisconsin",1.7
"Eagle, Colorado",0.7
"Vanderburgh, Indiana",1.6
"Winnebago, Wisconsin",1.6
"Jefferson Parish, Louisiana",1.6
"Carson City, Nevada",0.3
"Bannock, Idaho",1.5
"Douglas, Washington",1.5
"Morris, New Jersey",1.9
"Kane, Illinois",1.8
"Kitsap, Washington",1.8
"Hampshire, Massachusetts",1.6
"Kalamazoo, Michigan",1.3
"Burlington, New Jersey",1.9
"Sutter, California",1.5
"Guilford, North Carolina",1.6
"La Crosse, Wisconsin",1.7
"Jackson, Oregon",1.3
"Manatee, Florida",1.6
"Lubbock, Texas",1.6
"Juneau City and Borough, Alaska",1.4
"Cumberland, Maine",1.4
"Bucks, Pennsylvania",1.9
"Yellowstone, Montana",1.5
"Greene, Missouri",1.5
"San Luis Obispo, California",0.9
"Tulsa, Oklahoma",1.4
"Burleigh, North Dakota",1.4
"McDonough, Illinois",1.6
"Brown, Wisconsin",1.5
"Minnehaha, South Dakota",1.5
"Washington, Arkansas",1.5
"Charleston, South Carolina",1.4
"Stark, Ohio",1.4
"Summit, Colorado",1.1
"Macomb, Michigan",1.5
"Silver Bow, Montana",1.4
"Kankakee, Illinois",1.5
"Shawnee, Kansas",1.3
"Oneida, New York",2.2
"Boone, Missouri",1.3
"Polk, Oregon",1.0
"Seminole, Florida",2.0
"Bristol city, Virginia",1.3
"Linn, Iowa",1.3
"Anoka, Minnesota",1.8
"Henrico, Virginia",1.5
"Potter, Texas",1.3
"Merced, California",1.5
"Winnebago, Illinois",1.4
"Luzerne, Pennsylvania",1.4
"Cache, Utah",1.4
"Escambia, Florida",1.3
"Berks, Pennsylvania",1.6
"St. Louis, Minnesota",1.6
"Douglas, Wisconsin",1.4
"Dauphin, Pennsylvania",2.5
"Oklahoma, Oklahoma",1.4
"Anne Arundel, Maryland",2.1
"Bristol, Massachusetts",2.1
"Yuba, California",1.3
"Klamath, Oregon",1.3
"El Paso, Colorado",1.9
"Lancaster, Pennsylvania",1.4
"Benton, Minnesota",1.4
"Island, Washington",1.1
"Sheboygan, Wisconsin",1.5
"Worcester, Massachusetts",1.2
"Yakima, Washington",1.3
"Tooele, Utah",0.9
"Knox, Illinois",0.6
"Webster, Iowa",0.9
"Middlesex, Connecticut",1.2
"Somerset, New Jersey",1.3
"Strafford, New Hampshire",1.4
"Cumberland, New Jersey",1.2
"Lee, Florida",1.3
"Chester, Pennsylvania",1.5
"Pulaski, Arkansas",1.4
"Plymouth, Massachusetts",1.6
"Jefferson, Texas",1.3
"Mesa, Colorado",1.2
"Victoria, Texas",1.3
"Salem city, Virginia",1.1
"Charles, Maryland",1.3
"Jefferson, Washington",1.3
"Dougherty, Georgia",1.2
"Ada, Idaho",1.2
"Garfield, Colorado",0.1
"Prince William, Virginia",1.2
"Wood, West Virginia",1.3
"Clallam, Washington",1.1
"Forsyth, North Carolina",1.3
"Rockland, New York",1.4
"Pueblo, Colorado",1.2
"Daviess, Kentucky",1.3
"Mahoning, Ohio",1.2
"Muscogee, Georgia",1.2
"Niagara, New York",1.4
"Scott, Iowa",2.3
"Sitka City and Borough, Alaska",1.1
"Lake, Ohio",1.1
"Loudoun, Virginia",0.9
"Bibb, Georgia",1.1
"Knox, Tennessee",1.2
"New Hanover, North Carolina",1.1
"Sedgwick, Kansas",1.2
"Maui, Hawaii",1.1
"Douglas, Colorado",1.5
"Midland, Texas",1.1
"Allen, Indiana",1.2
"Rutland, Vermont",1.2
"Stearns, Minnesota",1.3
"Coconino, Arizona",1.2
"Del Norte, California",1.1
"Cape May, New Jersey",1.2
"Rock, Wisconsin",1.3
"Humboldt, California",1.1
"Ohio, West Virginia",1.1
"Cumberland, North Carolina",1.5
"Montgomery, Alabama",1.2
"Outagamie, Wisconsin",1.3
"Grand Traverse, Michigan",1.1
"Yuma, Arizona",1.1
"Dutchess, New York",1.5
"Albemarle, Virginia",1.2
"Kent, Delaware",0.9
"Chesapeake city, Virginia",1.1
"Oakland, Michigan",1.2
"Placer, California",0.9
"Deschutes, Oregon",1.0
"Cowlitz, Washington",1.3
"Cambria, Pennsylvania",1.2
"Cameron, Texas",1.0
"Laramie, Wyoming",1.1
"Taylor, Texas",1.1
"Fairbanks North Star Borough, Alaska",1.0
"Platte, Missouri",1.1
"Brevard, Florida",0.9
"Clinton, Iowa",0.9
"Frederick, Maryland",1.1
"Lafayette Parish, Louisiana",1.1
"Johnson, Kansas",0.8
"Genesee, Michigan",1.2
"Buncombe, North Carolina",1.0
"Jackson, Illinois",1.0
"Dakota, Nebraska",0.7
"Wichita, Texas",1.0
"Washington, Rhode Island",1.1
"Hinds, Mississippi",0.9
"Collier, Florida",0.9
"Ector, Texas",1.0
"Muscatine, Iowa",0.0
"Box Elder, Utah",0.8
"Cerro Gordo, Iowa",0.8
"Richmond, Georgia",1.0
"Bell, Texas",1.0
"Clark, Indiana",1.0
"Madison, Tennessee",1.0
"Cobb, Georgia",0.7
"Cayuga, New York",1.6
"Elkhart, Indiana",0.9
"Black Hawk, Iowa",1.2
"Beaver, Pennsylvania",0.9
"Saginaw, Michigan",1.1
"St. Bernard Parish, Louisiana",0.8
"Collin, Texas",1.2
"New London, Connecticut",1.0
"Blaine, Idaho",0.8
"Doña Ana, New Mexico",0.9
"Clay, Missouri",0.9
"Cole, Missouri",1.0
"Natrona, Wyoming",0.9
"McLennan, Texas",0.9
"Salem, New Jersey",1.0
"Lake, California",0.9
"James City, Virginia",0.9
"Shasta, California",1.0
"Allegany, Maryland",0.9
"Hamilton, Tennessee",0.9
"Boyd, Kentucky",1.0
"Pasco, Florida",0.9
"San Benito, California",1.0
"DeKalb, Illinois",1.1
"Hillsborough, New Hampshire",1.0
"Yamhill, Oregon",0.8
"Will, Illinois",1.0
"Mobile, Alabama",0.9
"Athens, Ohio",1.0
"Brazos, Texas",0.8
"Bonneville, Idaho",0.8
"Denton, Texas",1.1
"Worcester, Maryland",1.2
"Washington, Tennessee",1.0
"Pennington, South Dakota",0.8
"Hopewell city, Virginia",0.8
"Harrison, Mississippi",0.9
"Waukesha, Wisconsin",0.8
"Calhoun, Michigan",1.0
"Pottawattamie, Iowa",0.8
"Berkshire, Massachusetts",0.7
"Henderson, Kentucky",1.3
"Ocean, New Jersey",0.8
"Westmoreland, Pennsylvania",0.7
"Bay, Florida",0.8
"Polk, Florida",0.7
"Monroe, Florida",0.8
"Terrebonne Parish, Louisiana",0.8
"Mendocino, California",0.8
"Marathon, Wisconsin",0.9
"Chautauqua, New York",0.8
"Indiana, Pennsylvania",0.9
"Clatsop, Oregon",0.7
"Vigo, Indiana",0.8
"Lexington city, Virginia",0.8
"Tom Green, Texas",0.8
"Tarrant, Texas",0.8
"Harford, Maryland",0.9
"St. Mary's, Maryland",0.6
"Hernando, Florida",0.7
"Washington, Vermont",0.7
"Gregg, Texas",0.7
"McHenry, Illinois",1.0
"Portage, Ohio",0.8
"Kanawha, West Virginia",0.7
"Lincoln, Oregon",0.7
"Rio Arriba, New Mexico",0.5
"Taos, New Mexico",0.4
"Morton, North Dakota",0.7
"Dorchester, Maryland",0.6
"Lebanon, Pennsylvania",0.7
"Lycoming, Pennsylvania",0.7
"Boone, Kentucky",0.7
"York, Pennsylvania",0.9
"Warren, New Jersey",0.7
"Tolland, Connecticut",0.5
"Des Moines, Iowa",0.1
"Ouachita Parish, Louisiana",0.8
"Linn, Oregon",0.6
"Miller, Arkansas",0.7
"Putnam, New York",1.0
"Cabarrus, North Carolina",0.7
"Warren, New York",0.7
"Hood River, Oregon",0.2
"Weld, Colorado",0.8
"Fond du Lac, Wisconsin",0.8
"Josephine, Oregon",0.7
"Muskegon, Michigan",0.7
"Sebastian, Arkansas",0.8
"Craighead, Arkansas",0.7
"Crittenden, Arkansas",0.8
"St. Clair, Michigan",0.8
"Franklin, Massachusetts",0.7
"Marquette, Michigan",0.6
"Washington, Utah",0.7
"Floyd, Indiana",0.7
"Tuolumne, California",0.6
"Union, Oregon",0.7
"Marshall, Iowa",0.0
"Bennington, Vermont",0.5
"Adams, Illinois",0.7
"Schuylkill, Pennsylvania",0.7
"San Juan, Washington",0.8
"Gwinnett, Georgia",0.5
"Forrest, Mississippi",0.7
"Randall, Texas",0.6
"Buena Vista city, Virginia",0.6
"Talbot, Maryland",0.6
"Grant, Washington",0.6
"Stafford, Virginia",0.6
"Allen, Ohio",0.7
"Covington city, Virginia",0.6
"Pitt, North Carolina",0.6
"El Dorado, California",0.6
"Tillamook, Oregon",0.5
"Grand, Colorado",0.2
"Vermilion, Illinois",0.6
"Barnstable, Massachusetts",0.7
"Wicomico, Maryland",0.5
"Saratoga, New York",0.6
"Cleveland, Oklahoma",0.7
"Nevada, California",0.5
"Canyon, Idaho",0.5
"Scott, Minnesota",0.8
"Sussex, Delaware",0.5
"Ashland, Wisconsin",0.6
"Douglas, Oregon",0.5
"Warren, Kentucky",0.6
"Madera, California",0.6
"Butler, Ohio",0.4
"Fayette, Pennsylvania",0.5
"Androscoggin, Maine",0.6
"Warren, Pennsylvania",0.5
"Penobscot, Maine",0.6
"Windham, Vermont",0.5
"Calvert, Maryland",0.6
"Cumberland, Pennsylvania",0.8
"Greenville, South Carolina",0.6
"Columbia, Oregon",0.4
"Lake, Florida",0.4
"Marion, West Virginia",0.5
"Richland, Ohio",0.5
"McCracken, Kentucky",0.6
"Gallatin, Montana",0.7
"Okaloosa, Florida",0.9
"Washington, Maryland",0.5
"Somerset, Maryland",0.5
"Smith, Texas",0.5
"Lake, Colorado",0.5
"Coryell, Texas",0.6
"Washington, Minnesota",0.6
"Steuben, New York",0.0
"Ottawa, Michigan",0.6
"Gunnison, Colorado",0.5
"Bowie, Texas",0.6
"Kootenai, Idaho",0.5
"Addison, Vermont",0.4
"Monroe, Pennsylvania",0.6
"Hidalgo, Texas",0.5
"Spotsylvania, Virginia",0.5
"Coos, Oregon",0.4
"Sullivan, Tennessee",0.5
"Rutherford, Tennessee",0.5
"Mason, Washington",0.4
"Tehama, California",0.5
"Madison, Alabama",0.5
"Montgomery, Tennessee",0.4
"Muskingum, Ohio",0.5
"Nez Perce, Idaho",0.0
"Nash, North Carolina",0.5
"Edgecombe, North Carolina",0.6
"Monroe, Illinois",0.3
"Grand Isle, Vermont",0.0
"Windsor, Vermont",0.4
"Umatilla, Oregon",0.3
"San Juan, New Mexico",0.5
"Jackson, Michigan",0.5
"Toole, Montana",0.7
"Hawaii, Hawaii",0.4
"Florence, South Carolina",0.5
"Cecil, Maryland",0.5
"Tazewell, Illinois",0.7
"Lake, Indiana",0.6
"Franklin, Vermont",0.4
"Pacific, Washington",0.4
"Roanoke, Virginia",0.5
"Sandoval, New Mexico",0.5
"Sumter, South Carolina",0.4
"Tuscaloosa, Alabama",0.4
"Ulster, New York",0.4
"Venango, Pennsylvania",0.4
"Berkeley, West Virginia",0.6
"Grafton, New Hampshire",0.4
"Clark, Ohio",0.5
"Crawford, Pennsylvania",0.5
"Siskiyou, California",0.3
"St. Lucie, Florida",0.4
"Malheur, Oregon",0.4
"Calcasieu Parish, Louisiana",0.5
"Garland, Arkansas",0.5
"Bossier Parish, Louisiana",0.4
"Lassen, California",0.4
"Dallas, Iowa",0.4
"Orange, New York",0.3
"Livingston, New York",0.3
"Nacogdoches, Texas",0.4
"Valencia, New Mexico",0.5
"Phillips, Montana",0.6
"Rowan, North Carolina",0.5
"Pierce, North Dakota",0.6
"Gaston, North Carolina",0.5
"Delaware, Ohio",0.4
"Catawba, North Carolina",0.3
"Wayne, North Carolina",0.4
"Douglas, Nevada",0.4
"St. Johns, Florida",0.3
"Hidalgo, New Mexico",0.6
"Monroe, Michigan",0.4
"Angelina, Texas",0.4
"Williamson, Texas",0.2
"Washington, Pennsylvania",0.4
"Baker, Oregon",0.3
"Logan, Illinois",0.6
"Eaton, Michigan",0.4
"Lamoille, Vermont",0.2
"Calumet, Wisconsin",0.4
"Mahaska, Iowa",0.0
"Amador, California",0.3
"Alleghany, Virginia",0.4
"Mercer, Pennsylvania",0.4
"Onslow, North Carolina",0.4
"Brewster, Texas",0.5
"Eddy, New Mexico",0.0
"York, Maine",0.4
"Fulton, New York",0.0
"Queen Anne's, Maryland",0.3
"Porter, Indiana",0.4
"Wayne, West Virginia",0.4
"Hall, Georgia",0.4
"Hunterdon, New Jersey",0.4
"Lincoln, West Virginia",0.2
"Russell, Alabama",0.3
"Livingston, Illinois",0.5
"Cochise, Arizona",0.0
"Caledonia, Vermont",0.3
"Washington, New York",0.4
"Jessamine, Kentucky",0.0
"Cheshire, New Hampshire",0.3
"Belmont, Ohio",0.3
"Kennebec, Maine",0.3
"Hardy, West Virginia",0.2
"Jefferson, West Virginia",0.3
"Litchfield, Connecticut",0.3
"Sussex, New Jersey",0.3
"Pickens, South Carolina",0.3
"Mineral, West Virginia",0.2
"Sherburne, Minnesota",0.4
"Jasper, Missouri",0.3
"Marion, Florida",0.4
"Galveston, Texas",0.4
"Spartanburg, South Carolina",0.4
"Ramsey, North Dakota",0.5
"Grayson, Texas",0.3
"York, Virginia",0.3
"Plumas, California",0.2
"LaPorte, Indiana",0.5
"Etowah, Alabama",0.3
"Logan, West Virginia",0.2
"Colonial Heights city, Virginia",0.3
"Polk, Minnesota",0.4
"Carver, Minnesota",0.3
"Los Alamos, New Mexico",0.3
"Orange, Vermont",0.2
"Tioga, Pennsylvania",0.3
"Calhoun, Alabama",0.3
"Bryan, Oklahoma",0.3
"Guernsey, Ohio",0.3
"Benton, Arkansas",0.3
"Anderson, South Carolina",0.3
"Boyle, Kentucky",0.0
"Citrus, Florida",0.2
"Merrimack, New Hampshire",0.3
"Rockingham, New Hampshire",0.4
"Lawrence, Ohio",0.2
"Amherst, Virginia",0.3
"Jefferson, Oregon",0.1
"Calaveras, California",0.1
"Horry, South Carolina",0.2
"Martin, Florida",0.2
"Caroline, Maryland",0.2
"Glacier, Montana",0.3
"Scott, Kentucky",0.0
"Trinity, California",0.2
"Lorain, Ohio",0.3
"Valley, Montana",0.4
"Sullivan, New York",0.0
"Williamson, Tennessee",0.2
"Matanuska-Susitna Borough, Alaska",0.2
"Butler, Pennsylvania",0.3
"Oconee, South Carolina",0.3
"Lafourche Parish, Louisiana",0.3
"Prowers, Colorado",0.3
"Dodge, Minnesota",0.2
"Jefferson, Missouri",0.2
"Lexington, South Carolina",0.1
"Union, Iowa",0.3
"Johnson, Indiana",0.2
"Wallowa, Oregon",0.0
"Clarke, Iowa",0.3
"Windham, Connecticut",0.3
"Wabasha, Minnesota",0.1
"San Miguel, New Mexico",0.2
"Union, South Dakota",0.1
"Leelanau, Michigan",0.1
"Hampshire, West Virginia",0.1
"Hill, Montana",0.3
"Marion, Illinois",0.3
"Winona, Minnesota",0.3
"Pulaski, Virginia",0.2
"Adams, Pennsylvania",0.3
"Ozaukee, Wisconsin",0.2
"Trumbull, Ohio",0.2
"Boone, West Virginia",0.1
"Henry, Illinois",0.3
"Culpeper, Virginia",0.3
"Grant, West Virginia",0.1
"Preston, West Virginia",0.1
"Fluvanna, Virginia",0.1
"Crook, Oregon",0.1
"Orleans, Vermont",0.1
"Liberty, Texas",0.2
"Curry, Oregon",0.1
"Red Willow, Nebraska",0.3
"Phelps, Nebraska",0.3
"Las Animas, Colorado",0.3
"Campbell, Virginia",0.1
"Sullivan, Pennsylvania",0.1
"Kent, Maryland",0.2
"Roosevelt, Montana",0.3
"Douglas, Georgia",0.1
"Bradford, Pennsylvania",0.1
"Adams, Nebraska",0.3
"Carroll, Maryland",0.2
"Clinton, Michigan",0.2
"McKinley, New Mexico",0.1
"St. Lawrence, New York",0.1
"Olmsted, Minnesota",1.7
"Greene, Ohio",0.2
"Perry, Illinois",0.3
"Yavapai, Arizona",0.2
"Georgetown, South Carolina",0.1
"Chesterfield, Virginia",0.2
"Craven, North Carolina",0.2
"Caroline, Virginia",0.1
"Colfax, New Mexico",0.3
"Houston, Minnesota",0.2
"Leflore, Mississippi",0.3
"Skamania, Washington",0.1
"Montgomery, New York",0.1
"Mingo, West Virginia",0.1
"Clearfield, Pennsylvania",0.2
"Effingham, Illinois",0.3
"Mohave, Arizona",0.2
"Harvey, Kansas",0.2
"Fort Bend, Texas",0.2
"Mariposa, California",0.1
"Marshall, West Virginia",0.2
"San Juan, Utah",0.1
"Wilson, Tennessee",0.2
"Harney, Oregon",0.0
"Inyo, California",0.1
"Humboldt, Nevada",0.2
"Grant, Oregon",0.0
"Osage, Oklahoma",0.2
"Bullitt, Kentucky",0.1
"Bayfield, Wisconsin",0.1
"Morgan, Colorado",0.2
"Dorchester, South Carolina",0.1
"Staunton city, Virginia",0.2
"Jackson, Mississippi",0.2
"Ford, Kansas",0.2
"Pendleton, West Virginia",0.0
"Sarpy, Nebraska",0.2
"St. Charles, Missouri",0.2
"Goodhue, Minnesota",0.2
"Grand, Utah",0.1
"Pike, Pennsylvania",0.1
"Kittitas, Washington",0.1
"Falls, Texas",0.1
"Warren, Ohio",0.1
"Coles, Illinois",0.2
"Kaufman, Texas",0.1
"Johnson, Missouri",0.2
"Hempstead, Arkansas",0.2
"Val Verde, Texas",0.2
"Williams, North Dakota",0.2
"Lamar, Mississippi",0.1
"Wood, Ohio",0.1
"Mountrail, North Dakota",0.2
"Surry, Virginia",0.1
"Baldwin, Alabama",0.1
"Henry, Iowa",0.2
"Andrew, Missouri",0.1
"Quitman, Mississippi",0.0
"Otero, Colorado",0.2
"Modoc, California",0.1
"Becker, Minnesota",0.2
"Bureau, Illinois",0.2
"Sanpete, Utah",0.1
"Yazoo, Mississippi",0.2
"Pamlico, North Carolina",0.2
"Darlington, South Carolina",0.1
"Juab, Utah",0.1
"Williams, Ohio",0.2
"Wasco, Oregon",0.1
"Alamance, North Carolina",0.1
"Clinton, New York",0.1
"Apache, Arizona",0.0
"Terrell, Texas",0.0
"Oswego, New York",0.1
"Franklin, Idaho",0.1
"Columbia, Wisconsin",0.2
"Rockingham, Virginia",0.1
"Lawrence, Arkansas",0.2
"Pettis, Missouri",0.2
"Luna, New Mexico",0.2
"Ward, North Dakota",0.2
"Hyde, North Carolina",0.2
"Jones, Georgia",0.1
"Medina, Ohio",0.1
"Erie, Ohio",0.2
"Currituck, North Carolina",0.1
"Wasatch, Utah",0.0
"Midland, Michigan",0.1
"Lawrence, Pennsylvania",0.1
"Sevier, Tennessee",0.1
"Buckingham, Virginia",0.0
"Cooke, Texas",0.2
"Fayette, Indiana",0.1
"Wyoming, New York",0.1
"Lincoln, Montana",0.2
"Carbon, Utah",0.1
"Hot Spring, Arkansas",0.2
"Brunswick, North Carolina",0.1
"Clay, Florida",0.1
"Alexander, North Carolina",0.0
"Columbia, New York",0.2
"Rockbridge, Virginia",0.1
"Cherokee, Georgia",0.1
"Oldham, Kentucky",0.1
"Fillmore, Minnesota",0.1
"Monroe, Wisconsin",0.2
"Finney, Kansas",0.1
"Pike, Mississippi",0.1
"Lewis, Washington",0.2
"Arenac, Michigan",0.1
"Isle of Wight, Virginia",0.1
"Blair, Pennsylvania",0.1
"Wapello, Iowa",0.1
"Iron, Missouri",0.0
"Prince George, Virginia",0.1
"Montgomery, Indiana",0.1
"Lincoln, Mississippi",0.1
"Cass, Michigan",0.2
"Benewah, Idaho",0.0
"Greene, Virginia",0.0
"Lincoln, South Dakota",0.1
"Clear Creek, Colorado",0.0
"Davidson, North Carolina",0.0
"Rockwall, Texas",0.1
"Wayne, Georgia",0.1
"Stevens, Washington",0.0
"Bamberg, South Carolina",0.1
"Asotin, Washington",0.0
"Clark, Arkansas",0.1
"Marion, South Carolina",0.1
"Stephens, Georgia",0.1
"Okanogan, Washington",0.0
"Allegan, Michigan",0.1
"Henry, Georgia",0.0
"Summers, West Virginia",0.1
"Hendricks, Indiana",0.1
"Wayne, Pennsylvania",0.0
"Park, Montana",0.0
"Fulton, Kentucky",0.1
"Williamsburg, South Carolina",0.1
"Harrison, West Virginia",0.1
"Newton, Missouri",0.1
"Mower, Minnesota",0.1
"Macoupin, Illinois",0.1
"Butler, Missouri",0.1
"Carter, Oklahoma",0.1
"Huntingdon, Pennsylvania",0.1
"Payette, Idaho",0.1
"Suffolk city, Virginia",0.1
"Reno, Kansas",0.1
"Gasconade, Missouri",0.1
"Berrien, Michigan",0.1
"Wilson, North Carolina",0.0
"Berkeley, South Carolina",0.1
"Dillon, South Carolina",0.1
"Nelson, Virginia",0.0
"Madison, Virginia",0.0
"Somerset, Pennsylvania",0.1
"Rockdale, Georgia",0.0
"Randolph, North Carolina",0.0
