,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,103112,7,61
1,New Jersey,BERGEN,348924,3,55
2,New Jersey,BURLINGTON,165923,5,70
3,New Jersey,CAMDEN,185562,7,64
4,New Jersey,CAPE MAY,40674,2,79
5,New Jersey,CUMBERLAND,45446,9,57
6,New Jersey,ESSEX,254509,16,45
7,New Jersey,GLOUCESTER,109645,5,77
8,New Jersey,HUDSON,200182,5,32
9,New Jersey,HUNTERDON,46221,1,72
10,New Jersey,MERCER,128487,9,54
11,New Jersey,MIDDLESEX,277665,4,44
12,New Jersey,MONMOUTH,236036,3,69
13,New Jersey,MORRIS,220339,2,65
14,New Jersey,OCEAN,190689,1,73
15,New Jersey,PASSAIC,149371,4,47
16,New Jersey,SALEM,20414,7,73
17,New Jersey,SOMERSET,131279,4,53
18,New Jersey,SUSSEX,49847,1,78
19,New Jersey,UNION,175786,10,48
20,New Jersey,WARREN,31277,2,75
