,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,205866,6,69
1,New Jersey,BERGEN,226881,9,62
2,New Jersey,BURLINGTON,47068,2,80
3,New Jersey,CAMDEN,54879,10,54
4,New Jersey,CAPE MAY,333184,18,42
5,New Jersey,CUMBERLAND,133716,6,76
6,New Jersey,ESSEX,277513,5,30
7,New Jersey,GLOUCESTER,59834,1,72
8,New Jersey,HUDSON,165372,9,52
9,New Jersey,HUNTERDON,368119,5,42
10,New Jersey,MERCER,289265,4,70
11,New Jersey,MIDDLESEX,268099,2,64
12,New Jersey,MONMOUTH,232781,2,75
13,New Jersey,MORRIS,95845,5,61
14,New Jersey,OCEAN,197725,4,44
15,New Jersey,PASSAIC,24243,8,74
16,New Jersey,SALEM,168400,5,52
17,New Jersey,SOMERSET,62737,1,79
18,New Jersey,SUSSEX,234184,11,45
19,New Jersey,UNION,1865,6,57
20,New Jersey,WARREN,39219,2,75
