,State full,County,People with at least one vaccine dose,Black,White
0,New Jersey,ATLANTIC,108285,7,60
1,New Jersey,BERGEN,376859,3,54
2,New Jersey,BURLINGTON,177607,5,69
3,New Jersey,CAMDEN,200269,8,64
4,New Jersey,CAPE MAY,42417,2,79
5,New Jersey,CUMBERLAND,48709,9,57
6,New Jersey,ESSEX,278559,17,45
7,New Jersey,GLOUCESTER,117996,6,77
8,New Jersey,HUDSON,226604,5,31
9,New Jersey,HUNTERDON,50190,1,72
10,New Jersey,MERCER,140223,9,53
11,New Jersey,MIDDLESEX,300746,4,43
12,New Jersey,MONMOUTH,250606,3,69
13,New Jersey,MORRIS,234927,2,65
14,New Jersey,OCEAN,163964,4,46
15,New Jersey,PASSAIC,203032,1,74
16,New Jersey,SALEM,21494,7,74
17,New Jersey,SOMERSET,141562,4,53
18,New Jersey,SUSSEX,53398,1,79
19,New Jersey,UNION,193946,10,47
20,New Jersey,WARREN,33442,2,75
